Region,Year,Quarter,System duration (hrs),daily_spread_avg,Total arbitrage profit ($/MW/yr),Cycles (full cycle equivalents),Avg sell price ($/MWh),Avg purchase price ($/MWh),Cost €/MW
VIC1,2025,Q2,7,272.4,718727.44,136.06,240.43,49.18,0
VIC1,2025,Q3,7,144.94,389857.36,143.03,126.06,27.27,0
VIC1,2025,Q4,7,118.39,309832.36,151.14,68.7,-4.26,0
VIC1,2026,Q1,7,88.76,228030.08,138.31,70.58,11.11,0
VIC1,2026,Q2,7,72.64,123489.84,91.1,72.39,22.78,0
VIC1,2024,Q1,8,162.74,516834.24,126.06,117.51,-10.08,0
VIC1,2024,Q2,8,143.38,479732.04,124.72,189.42,65.76,0
VIC1,2024,Q3,8,203.96,630806.72,127.93,182.97,27.43,0
VIC1,2024,Q4,8,152.8,460959.24,124.2,100.03,-15.12,0
VIC1,2025,Q1,8,135.09,390377.12,118.29,109.31,5.87,0
VIC1,2025,Q2,8,246.08,730463.64,120.54,240.49,48.57,0
VIC1,2025,Q3,8,135.12,402398.28,125.92,127.63,26.37,0
VIC1,2025,Q4,8,111.35,329760.0,131.59,72.69,-5.31,0
VIC1,2026,Q1,8,83.16,239967.12,121.95,72.43,10.38,0
VIC1,2026,Q2,8,68.13,129684.4,80.28,73.76,22.12,0
VIC1,2024,Q1,9,149.3,518762.44,112.22,117.59,-10.28,0
VIC1,2024,Q2,9,132.69,482813.16,111.04,189.8,65.57,0
VIC1,2024,Q3,9,186.59,637611.04,113.99,183.89,27.08,0
VIC1,2024,Q4,9,143.41,479190.4,111.23,103.02,-15.78,0
VIC1,2025,Q1,9,126.04,403169.44,105.99,111.1,5.15,0
VIC1,2025,Q2,9,223.83,739677.24,108.18,240.5,48.05,0
VIC1,2025,Q3,9,125.66,412644.72,111.89,129.22,25.44,0
VIC1,2025,Q4,9,104.31,345550.44,117.23,75.42,-6.09,0
VIC1,2026,Q1,9,77.67,248968.8,109.36,73.58,9.81,0
VIC1,2026,Q2,9,63.3,134579.04,71.76,74.78,21.55,0
VIC1,2024,Q1,10,137.26,520368.4,101.27,117.57,-10.35,0
VIC1,2024,Q2,10,122.63,485756.56,100.09,190.13,65.36,0
VIC1,2024,Q3,10,171.21,643286.28,103.1,184.11,26.71,0
VIC1,2024,Q4,10,133.88,492300.08,100.97,104.89,-16.11,0
VIC1,2025,Q1,10,117.26,413295.44,96.21,112.42,4.76,0
VIC1,2025,Q2,10,204.63,747200.92,97.84,240.8,47.38,0
VIC1,2025,Q3,10,116.51,421431.0,100.98,130.3,24.66,0
VIC1,2025,Q4,10,97.19,357305.92,105.52,77.49,-6.75,0
VIC1,2026,Q1,10,72.14,255641.88,98.9,74.43,9.31,0
VIC1,2026,Q2,10,58.56,138928.32,64.73,75.64,20.89,0
VIC1,2024,Q1,11,126.26,521781.76,92.22,117.57,-10.47,0
VIC1,2024,Q2,11,113.24,488606.72,91.01,190.56,65.12,0
VIC1,2024,Q3,11,157.44,648346.08,93.81,184.79,26.32,0
VIC1,2024,Q4,11,124.32,502048.48,92.43,106.31,-16.23,0
VIC1,2025,Q1,11,108.75,421054.72,87.76,113.8,4.5,0
VIC1,2025,Q2,11,187.75,753647.36,89.45,240.77,46.81,0
VIC1,2025,Q3,11,107.71,429306.64,92.28,131.11,24.11,0
VIC1,2025,Q4,11,90.07,366602.64,96.12,78.88,-7.35,0
VIC1,2026,Q1,11,66.74,260874.6,90.22,75.11,8.92,0
VIC1,2026,Q2,11,54.07,143107.12,59.0,76.59,20.39,0
SA1,2024,Q1,1,524.87,480365.72,954.2,116.28,-9.1,0
SA1,2024,Q2,1,337.24,459278.76,922.36,197.47,69.34,0
SA1,2024,Q3,1,1292.17,868070.32,986.33,247.75,26.34,0
SA1,2024,Q4,1,474.57,252300.8,981.79,61.06,-3.03,0
SA1,2025,Q1,1,528.19,264437.4,868.36,82.71,6.25,0
SA1,2025,Q2,1,618.74,330543.12,826.43,165.08,61.84,0
SA1,2025,Q3,1,448.11,304622.92,951.89,121.8,39.71,0
SA1,2025,Q4,1,280.14,160315.32,1071.1,39.08,1.58,0
SA1,2026,Q1,1,709.94,330106.16,916.7,110.32,19.26,0
SA1,2026,Q2,1,145.72,69000.12,582.42,71.26,39.56,0
SA1,2024,Q1,2,362.79,524667.08,500.97,121.03,-9.39,0
SA1,2024,Q2,2,275.9,503492.12,486.33,200.77,67.79,0
SA1,2024,Q3,2,1030.22,1009073.28,509.02,273.04,23.98,0
SA1,2024,Q4,2,346.59,322411.68,501.61,74.24,-5.79,0
SA1,2025,Q1,2,371.92,334355.68,455.71,97.2,5.21,0
SA1,2025,Q2,2,513.99,472995.76,437.53,195.82,57.65,0
SA1,2025,Q3,2,377.74,402991.52,487.18,141.24,35.95,0
SA1,2025,Q4,2,232.68,216490.24,537.51,48.78,-1.48,0
SA1,2026,Q1,2,550.47,458979.08,472.67,139.99,17.66,0
SA1,2026,Q2,2,127.29,92074.6,301.88,78.92,38.76,0
SA1,2024,Q1,3,296.18,539659.44,337.36,122.77,-10.01,0
SA1,2024,Q2,3,244.81,518060.16,328.25,202.13,67.08,0
SA1,2024,Q3,3,811.54,1061559.44,341.52,281.95,21.78,0
SA1,2024,Q4,3,292.35,379283.64,335.33,84.25,-9.51,0
SA1,2025,Q1,3,308.53,388818.52,311.46,106.76,2.6,0
SA1,2025,Q2,3,460.32,583333.56,303.18,217.35,54.17,0
SA1,2025,Q3,3,336.81,473612.0,328.93,155.17,33.42,0
SA1,2025,Q4,3,206.64,263497.68,358.34,56.7,-4.34,0
SA1,2026,Q1,3,470.72,550067.92,318.93,156.05,11.69,0
SA1,2026,Q2,3,116.19,109698.56,205.97,83.64,37.29,0
SA1,2024,Q1,4,256.82,548531.12,254.86,123.43,-10.53,0
SA1,2024,Q2,4,223.19,526281.4,248.42,202.84,66.91,0
SA1,2024,Q3,4,658.15,1098708.92,256.73,288.46,19.94,0
SA1,2024,Q4,4,259.9,429093.28,252.09,92.95,-12.76,0
SA1,2025,Q1,4,270.99,433846.0,237.04,114.3,-0.09,0
SA1,2025,Q2,4,399.58,642660.6,233.75,226.16,51.6,0
SA1,2025,Q3,4,300.82,528132.84,250.52,163.92,30.55,0
SA1,2025,Q4,4,189.41,305053.24,268.62,63.32,-7.26,0
SA1,2026,Q1,4,389.81,587468.32,241.18,162.07,9.33,0
SA1,2026,Q2,4,107.87,124318.72,157.18,87.15,35.83,0
SA1,2024,Q1,5,229.27,554589.8,203.84,124.28,-11.16,0
SA1,2024,Q2,5,205.69,532261.72,199.42,203.53,66.57,0
SA1,2024,Q3,5,557.07,1128374.64,206.19,293.4,18.79,0
SA1,2024,Q4,5,237.51,473870.0,201.46,100.89,-15.88,0
SA1,2025,Q1,5,244.91,472314.84,191.91,120.47,-2.46,0
SA1,2025,Q2,5,345.58,675760.28,190.8,230.44,50.69,0
SA1,2025,Q3,5,274.5,562056.64,202.14,168.82,28.3,0
SA1,2025,Q4,5,176.11,341743.72,213.54,69.46,-9.99,0
SA1,2026,Q1,5,334.49,618494.88,195.43,165.94,7.3,0
SA1,2026,Q2,5,100.6,136730.64,126.82,90.0,34.29,0
SA1,2024,Q1,6,208.07,559021.08,170.62,124.5,-11.41,0
SA1,2024,Q2,6,190.08,537074.76,166.17,204.32,66.17,0
SA1,2024,Q3,6,485.53,1150440.4,171.52,298.35,17.94,0
SA1,2024,Q4,6,219.97,513208.6,168.01,108.18,-18.14,0
SA1,2025,Q1,6,224.68,505200.56,161.08,126.11,-4.34,0
SA1,2025,Q2,6,304.54,698819.44,160.61,233.73,49.81,0
SA1,2025,Q3,6,251.56,587657.0,169.39,173.01,27.04,0
SA1,2025,Q4,6,164.65,374538.96,177.84,74.44,-12.59,0
SA1,2026,Q1,6,294.91,644802.16,163.34,170.28,5.5,0
SA1,2026,Q2,6,94.32,147170.64,107.19,92.68,33.7,0
SA1,2024,Q1,7,190.62,562567.2,146.48,124.88,-11.67,0
SA1,2024,Q2,7,175.78,541175.36,142.59,204.9,65.89,0
SA1,2024,Q3,7,430.98,1166622.64,147.28,300.5,16.72,0
SA1,2024,Q4,7,204.88,546857.72,144.1,114.58,-19.88,0
SA1,2025,Q1,7,207.56,532165.88,139.42,130.43,-5.59,0
SA1,2025,Q2,7,272.58,716053.08,138.8,235.96,49.12,0
SA1,2025,Q3,7,229.87,606943.64,146.14,175.98,26.25,0
SA1,2025,Q4,7,154.19,403327.64,151.51,79.26,-14.94,0
SA1,2026,Q1,7,264.34,665729.32,140.44,173.41,3.89,0
SA1,2026,Q2,7,88.53,155774.6,92.71,94.91,33.16,0
SA1,2024,Q1,8,175.42,565432.68,128.48,125.06,-11.85,0
SA1,2024,Q2,8,162.64,544928.2,124.87,205.5,65.67,0
SA1,2024,Q3,8,387.09,1178906.4,128.97,302.73,16.21,0
SA1,2024,Q4,8,191.16,575239.08,126.63,119.62,-21.19,0
SA1,2025,Q1,8,192.33,553603.32,122.21,134.16,-7.01,0
SA1,2025,Q2,8,246.4,728965.76,122.29,237.3,48.47,0
SA1,2025,Q3,8,210.56,622132.8,128.24,178.25,25.28,0
SA1,2025,Q4,8,144.5,428152.16,132.21,83.67,-16.55,0
SA1,2026,Q1,8,239.36,682464.48,123.0,176.36,2.81,0
SA1,2026,Q2,8,82.74,162675.2,81.76,96.64,32.74,0
SA1,2024,Q1,9,161.75,567698.68,114.43,125.25,-11.93,0
SA1,2024,Q2,9,150.36,548409.68,110.95,206.11,65.37,0
SA1,2024,Q3,9,350.56,1188942.36,114.92,304.17,15.94,0
SA1,2024,Q4,9,178.47,596807.88,113.13,123.07,-22.23,0
SA1,2025,Q1,9,178.48,571173.24,108.71,137.64,-7.87,0
SA1,2025,Q2,9,224.2,739530.72,109.36,237.95,47.6,0
SA1,2025,Q3,9,193.32,635310.52,114.08,180.33,24.32,0
SA1,2025,Q4,9,135.35,448297.0,117.76,87.08,-17.61,0
SA1,2026,Q1,9,218.22,695298.52,109.66,178.23,1.99,0
SA1,2026,Q2,9,77.06,168550.24,73.34,97.65,32.13,0
SA1,2024,Q1,10,149.16,569548.96,103.17,125.43,-11.94,0
SA1,2024,Q2,10,138.92,551660.56,99.92,206.47,65.02,0
SA1,2024,Q3,10,319.49,1197250.28,103.63,305.39,15.74,0
SA1,2024,Q4,10,166.17,611980.44,102.27,125.31,-23.0,0
SA1,2025,Q1,10,165.54,584747.24,98.21,139.95,-8.42,0
SA1,2025,Q2,10,204.98,748564.96,98.6,238.93,46.68,0
SA1,2025,Q3,10,177.87,647040.32,102.64,182.24,23.38,0
SA1,2025,Q4,10,126.41,463337.2,106.21,89.54,-18.39,0
SA1,2026,Q1,10,199.54,704644.84,99.19,179.17,1.47,0
SA1,2026,Q2,10,71.51,173700.2,66.14,98.73,31.42,0
SA1,2024,Q1,11,137.42,571107.84,93.92,125.57,-12.01,0
SA1,2024,Q2,11,128.13,554747.0,90.95,206.68,64.65,0
SA1,2024,Q3,11,292.61,1204154.16,94.32,306.47,15.51,0
SA1,2024,Q4,11,154.13,622946.12,93.41,126.95,-23.31,0
SA1,2025,Q1,11,153.08,594730.96,89.47,141.57,-8.98,0
SA1,2025,Q2,11,188.04,756411.2,89.74,239.63,45.66,0
SA1,2025,Q3,11,163.69,657307.52,93.16,184.15,22.58,0
SA1,2025,Q4,11,117.51,474456.84,96.75,91.21,-19.06,0
SA1,2026,Q1,11,183.07,711962.48,90.33,180.06,0.87,0
SA1,2026,Q2,11,66.17,178517.2,60.16,99.73,30.68,0
QLD1,2024,Q1,1,956.74,579117.64,896.2,209.81,45.85,0
QLD1,2024,Q2,1,300.13,446368.0,927.97,162.11,39.77,0
QLD1,2024,Q3,1,549.63,383295.56,916.9,138.55,32.34,0
QLD1,2024,Q4,1,768.0,396348.32,908.38,157.91,46.39,0
QLD1,2025,Q1,1,420.05,217260.28,766.59,110.96,38.11,0
QLD1,2025,Q2,1,562.78,280079.28,723.13,159.42,59.46,0
QLD1,2025,Q3,1,222.78,136657.56,886.14,69.24,29.15,0
QLD1,2025,Q4,1,184.47,112112.8,924.95,56.75,25.12,0
QLD1,2026,Q1,1,161.99,90244.16,700.95,77.45,43.0,0
QLD1,2026,Q2,1,111.03,42647.08,470.08,69.3,44.28,0
QLD1,2024,Q1,2,582.15,603454.28,477.94,205.22,45.03,0
QLD1,2024,Q2,2,270.29,488860.76,487.61,165.64,38.3,0
QLD1,2024,Q3,2,410.58,458673.32,483.29,151.25,30.98,0
QLD1,2024,Q4,2,573.89,523974.64,470.97,185.68,44.28,0
QLD1,2025,Q1,2,346.35,301601.92,411.56,129.76,36.25,0
QLD1,2025,Q2,2,438.42,394142.84,394.24,184.11,56.18,0
QLD1,2025,Q3,2,201.19,205107.16,466.74,84.27,27.87,0
QLD1,2025,Q4,2,165.11,160768.4,471.99,66.97,23.17,0
QLD1,2026,Q1,2,131.09,123823.2,381.43,84.13,41.38,0
QLD1,2026,Q2,2,101.02,64183.04,253.82,76.58,42.73,0
QLD1,2024,Q1,3,435.17,609774.52,323.82,203.97,44.69,0
QLD1,2024,Q2,3,247.32,501791.8,328.88,166.6,37.48,0
QLD1,2024,Q3,3,341.6,504824.88,326.69,159.93,29.6,0
QLD1,2024,Q4,3,473.51,595038.92,316.28,199.54,40.63,0
QLD1,2025,Q1,3,278.93,345633.36,284.64,137.69,34.67,0
QLD1,2025,Q2,3,382.06,476311.48,276.96,197.76,51.72,0
QLD1,2025,Q3,3,187.17,258019.4,318.74,94.92,26.09,0
QLD1,2025,Q4,3,152.7,201865.84,317.06,74.92,20.77,0
QLD1,2026,Q1,3,116.35,150290.48,265.54,89.13,39.87,0
QLD1,2026,Q2,3,94.65,82350.96,177.22,82.15,41.26,0
QLD1,2024,Q1,4,353.66,613175.48,244.38,203.59,44.43,0
QLD1,2024,Q2,4,228.41,509082.08,247.44,167.44,36.91,0
QLD1,2024,Q3,4,298.93,539509.28,244.95,167.01,27.88,0
QLD1,2024,Q4,4,399.91,646406.16,237.78,209.14,37.28,0
QLD1,2025,Q1,4,239.46,380322.8,217.19,143.49,32.34,0
QLD1,2025,Q2,4,325.86,522259.12,213.21,204.53,48.86,0
QLD1,2025,Q3,4,175.84,302641.0,241.01,103.75,24.01,0
QLD1,2025,Q4,4,143.46,238965.8,237.89,81.81,18.07,0
